arch_id,test_accuracy,test_precision,test_recall,test_f1_score,epoch_time_sec,num_params,num_flops,architecture,train_loss_epoch_1,train_acc_epoch_1,train_loss_epoch_2,train_acc_epoch_2,train_loss_epoch_3,train_acc_epoch_3,train_loss_epoch_4,train_acc_epoch_4,train_loss_epoch_5,train_acc_epoch_5
534,0.5473,0.560812075,0.5473,0.545947466,129.5946634,225456,10708416,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=0) -> KAN(order=5,grid=15,act=ReLU)",1.735930276,38.798,1.418299496,50.13,1.329316963,53.574,1.27720778,55.26,1.240955125,56.466
535,0.5463,0.542017772,0.5463,0.540934108,129.8182113,225456,10708416,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=0) -> KAN(order=5,grid=15,act=GELU)",1.700145054,40.084,1.390442834,51.29,1.306927219,54.09,1.257346079,56.16,1.224590737,57.212
536,0.532,0.531812762,0.532,0.528744817,129.9667931,225456,10708416,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=0) -> KAN(order=5,grid=15,act=SiLU)",1.767565882,37.696,1.474907286,48.094,1.399302203,51.102,1.353221897,52.706,1.321780157,53.964
537,0.5214,0.524607919,0.5214,0.512943906,139.6011031,276656,13114816,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=0) -> KAN(order=5,grid=20,act=ReLU)",1.752501885,37.714,1.486870172,47.768,1.401211706,50.956,1.345458642,53.15,1.308555785,54.174
538,0.5295,0.530474686,0.5295,0.524841435,139.2211299,276656,13114816,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=0) -> KAN(order=5,grid=20,act=GELU)",1.735548059,38.868,1.436482473,49.542,1.358076486,52.402,1.311754827,54.288,1.28057028,55.302
539,0.5121,0.511109279,0.5121,0.510977422,139.6686118,276656,13114816,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=0) -> KAN(order=5,grid=20,act=SiLU)",1.772679403,37.736,1.50995371,47.018,1.4370185,49.762,1.388255902,51.516,1.346335201,53.094
540,0.5219,0.533302541,0.5219,0.519870777,95.02694631,116816,2119120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=5,act=ReLU)",1.784661364,37.354,1.516815765,47.174,1.424014473,50.104,1.371372727,52.228,1.331368302,53.554
541,0.5241,0.528444866,0.5241,0.520964085,94.81703281,116816,2119120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=5,act=GELU)",1.838283682,35.032,1.562446709,45.56,1.450125001,49.096,1.389494095,51.468,1.350504719,53.036
542,0.5367,0.544065429,0.5367,0.534449105,95.3184166,116816,2119120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=5,act=SiLU)",1.778481257,37.156,1.486294871,47.914,1.403967611,50.934,1.355695601,52.41,1.316583495,54.032
543,0.5366,0.535349969,0.5366,0.529564191,94.43409562,155696,2896720,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=8,act=ReLU)",1.770308109,37.184,1.4606493,48.504,1.379081955,51.694,1.328915789,53.146,1.28928635,54.726
544,0.5159,0.531219832,0.5159,0.509630761,95.48360729,155696,2896720,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=8,act=GELU)",1.74951876,37.746,1.459688036,48.592,1.38500578,51.198,1.337535156,53.116,1.304926652,54.442
545,0.5396,0.543523788,0.5396,0.534995864,95.08368945,155696,2896720,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=8,act=SiLU)",1.739568043,38.376,1.444432125,49.194,1.359969504,52.368,1.313200513,54.202,1.275864549,55.418
546,0.521,0.526630712,0.521,0.515726052,96.86709738,181616,3415120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=10,act=ReLU)",1.822995681,35.142,1.504105884,47.076,1.421066097,50.042,1.381884707,51.432,1.352961805,52.466
547,0.5198,0.527164998,0.5198,0.519156349,97.18625498,181616,3415120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=10,act=GELU)",1.755146792,38.066,1.471457257,48.386,1.406407603,50.804,1.365843005,52.224,1.335376847,53.564
548,0.5306,0.536629753,0.5306,0.52138228,95.16019869,181616,3415120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=10,act=SiLU)",1.702801702,39.49,1.427813334,49.644,1.348511651,52.542,1.296958417,54.508,1.256996953,55.958
549,0.5356,0.539329826,0.5356,0.532982012,100.443646,246416,4711120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=15,act=ReLU)",1.703798424,39.564,1.418278647,49.988,1.343675804,52.676,1.293121469,54.63,1.25938744,55.78
550,0.5455,0.549227928,0.5455,0.544978347,99.71762228,246416,4711120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=15,act=GELU)",1.722793324,38.832,1.407023994,50.386,1.32523813,53.304,1.275754119,55.22,1.240360911,56.208
551,0.553,0.557474945,0.553,0.551308624,99.47310853,246416,4711120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=15,act=SiLU)",1.647371749,41.518,1.371586233,51.446,1.292818611,54.68,1.2398572,56.64,1.202143211,57.968
552,0.536,0.547666786,0.536,0.529911899,104.8325341,311216,6007120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=20,act=ReLU)",1.686248019,39.954,1.433354662,49.44,1.353171992,52.518,1.299184304,54.354,1.261855338,55.792
553,0.5394,0.544531358,0.5394,0.537089272,104.7065523,311216,6007120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=20,act=GELU)",1.712389136,39.294,1.434493169,49.82,1.346299111,52.942,1.297199063,54.856,1.257565285,56.3
554,0.4971,0.499592116,0.4971,0.486969341,105.7008085,311216,6007120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=2,grid=20,act=SiLU)",1.814618596,35.856,1.511918639,46.768,1.435863556,49.492,1.388836049,51.454,1.351066313,52.776
555,0.4922,0.505512102,0.4922,0.48908438,99.43110585,129776,3544720,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=5,act=ReLU)",1.990085121,28.448,1.662441155,41.4,1.521097813,46.592,1.459661201,48.902,1.422473721,50.202
556,0.5277,0.522157142,0.5277,0.522909377,98.85350752,129776,3544720,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=5,act=GELU)",1.818031983,35.904,1.551431871,45.606,1.462735919,48.69,1.397712681,51.016,1.355845181,52.516
557,0.5361,0.534574164,0.5361,0.529962038,100.1841886,129776,3544720,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=5,act=SiLU)",1.801907493,36.298,1.480880308,48.136,1.402111904,50.92,1.355971139,52.688,1.321046132,53.984
558,0.5146,0.509597447,0.5146,0.506072522,102.5354981,168656,4672240,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=8,act=ReLU)",1.831255432,35.128,1.50865071,46.758,1.42543062,49.92,1.380673551,51.636,1.353215191,52.668
559,0.5258,0.546321854,0.5258,0.5168933,101.6441126,168656,4672240,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=8,act=GELU)",1.727936958,39.08,1.443694548,49.258,1.368389703,51.988,1.323354978,53.604,1.291414344,54.808
560,0.5147,0.525968688,0.5147,0.516092962,102.2732208,168656,4672240,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=8,act=SiLU)",1.774511604,37.056,1.495308481,47.294,1.424573781,49.814,1.387139338,51.298,1.35347669,52.394
561,0.5231,0.525877044,0.5231,0.520416406,104.2844296,194576,5423920,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=10,act=ReLU)",1.765587428,37.442,1.490855137,47.644,1.405296992,50.668,1.361955119,52.362,1.324826284,53.63
562,0.5191,0.518785114,0.5191,0.511175017,105.7012341,194576,5423920,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=10,act=GELU)",1.716733637,39.264,1.446606023,48.978,1.392319463,51.028,1.357819531,52.286,1.326634803,53.564
563,0.5285,0.53081153,0.5285,0.513773963,106.1409123,194576,5423920,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=10,act=SiLU)",1.729307172,39.156,1.437086655,49.406,1.364374324,52.322,1.319401019,54.124,1.281948083,55.434
564,0.5072,0.556053609,0.5072,0.504636377,112.4995494,259376,7303120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=15,act=ReLU)",1.706795725,39.022,1.435313327,49.264,1.359320827,52.044,1.312093455,54.086,1.273165928,55.472
565,0.5378,0.539620276,0.5378,0.532523778,112.2954712,259376,7303120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=15,act=GELU)",1.702111658,39.848,1.418866658,50.262,1.335361834,53.176,1.2811681,55.378,1.238595402,56.922
566,0.5339,0.539485196,0.5339,0.531276569,114.1001928,259376,7303120,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=15,act=SiLU)",1.706929483,39.744,1.427606889,49.864,1.350488318,52.586,1.307043449,54.278,1.274082731,55.44
567,0.5228,0.523287135,0.5228,0.514929997,120.0229888,324176,9182320,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=20,act=ReLU)",1.811726373,35.21,1.489666227,47.322,1.410145315,50.156,1.366379237,51.826,1.33180223,53.154
568,0.5391,0.553235441,0.5391,0.538399299,120.53139,324176,9182320,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=20,act=GELU)",1.734704052,38.662,1.429477912,49.934,1.327087678,53.506,1.261453445,56.036,1.212709916,57.766
569,0.5281,0.536549794,0.5281,0.520668092,121.3903069,324176,9182320,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=3,grid=20,act=SiLU)",1.726263938,38.81,1.440354196,49.336,1.355971612,52.31,1.298523565,54.454,1.258390968,56.072
570,0.5179,0.543871103,0.5179,0.513589603,107.134656,142736,5320240,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=5,act=ReLU)",1.817052865,35.59,1.53728095,46.076,1.443343662,49.264,1.393059924,51.152,1.361324835,52.372
571,0.5223,0.527511044,0.5223,0.521310295,107.5398607,142736,5320240,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=5,act=GELU)",1.779383234,37.12,1.484910218,47.908,1.418612116,49.992,1.380955997,51.738,1.353079542,52.664
572,0.5299,0.528827171,0.5299,0.523028403,107.597573,142736,5320240,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=5,act=SiLU)",1.754236227,37.872,1.468301975,48.506,1.397815302,51.012,1.354710158,52.546,1.325295149,53.798
573,0.5389,0.547490471,0.5389,0.536047677,112.7114861,181616,6797680,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=8,act=ReLU)",1.717742571,39.136,1.421340998,49.98,1.342800602,52.804,1.292901533,54.612,1.257224728,55.894
574,0.5397,0.554831181,0.5397,0.537876966,112.2401438,181616,6797680,"Conv2d(k=1,p=1) -> Conv2d(k=1,p=1) -> KAN(order=4,grid=8,act=GELU)",1.767602633,37.65,1.443763512,49.446,1.362282206,52.266,1.320197455,53.748,1.281071769,55.284
